Profile Summary
Generated on: 2020-12-12 21:23:55
Msec since Epoch: 1607804635051
Profiled application: host
Target platform: 
Tool version: 2019.2
XRT build version: 2.5.309
Build version branch: 2019.2_PU2
Build version hash: 9a03790c11f066a5597b133db737cf4683ad84c8
Build version date: 2020-02-23 18:52:05 
Target devices: xilinx_u280_xdma_201920_3-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,6692.56,6692.56,6692.56,6692.56,
clReleaseProgram,1,22.5913,22.5913,22.5913,22.5913,
clFinish,1,8.09265,8.09265,8.09265,8.09265,
clReleaseKernel,1,0.585068,0.585068,0.585068,0.585068,
clCreateBuffer,35,0.566799,0.010782,0.0161943,0.042319,
clReleaseMemObject,105,0.344932,0.002316,0.00328507,0.046623,
clCreateKernel,1,0.343403,0.343403,0.343403,0.343403,
clRetainMemObject,70,0.176578,0.002318,0.00252254,0.009931,
clSetKernelArg,35,0.104252,0.002469,0.00297863,0.013511,
clEnqueueMigrateMemObjects,2,0.101204,0.011432,0.050602,0.089772,
clGetExtensionFunctionAddress,2,0.099072,0.02656,0.049536,0.072512,
clEnqueueTask,1,0.094674,0.094674,0.094674,0.094674,
clGetPlatformInfo,6,0.050005,0.00764,0.00833417,0.010065,
clGetExtensionFunctionAddressForPlatform,2,0.028536,0.008875,0.014268,0.019661,
clReleaseContext,1,0.012463,0.012463,0.012463,0.012463,
clCreateContext,1,0.010115,0.010115,0.010115,0.010115,
clGetDeviceIDs,2,0.008207,0.00278,0.0041035,0.005427,
clRetainDevice,2,0.006172,0.002759,0.003086,0.003413,
clCreateCommandQueue,1,0.005961,0.005961,0.005961,0.005961,
clReleaseDevice,2,0.005864,0.00279,0.002932,0.003074,
clReleaseCommandQueue,1,0.005332,0.005332,0.005332,0.005332,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
vadd,1,0.747124,0.747124,0.747124,0.747124,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u280_xdma_201920_3-0,vadd_1,vadd,1:1:1,1:1:1,1,No,1,1.000000x,0.203907,0.203907,0.203907,0.203907,140,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,80.572822,0.839300,8.192,0.101672,0.101672,
context0:1,WRITE,1,2832.005695,29.500059,20800,7.344618,7.344618,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_u280_xdma_201920_3-0,vadd_1/m_axi_gmem32,table_DDR0,DDR[0],READ,16,497.778,4.32099,0.064,1146.43,
xilinx_u280_xdma_201920_3-0,vadd_1/m_axi_gmem34,out_PLRAM,PLRAM[0],WRITE,2048,41.48,0.360069,0.004,353.401,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_u280_xdma_201920_3-0,vadd_1,2064,4.46512,0.109012,0.009216,0.008192,0.001024,46.1823,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94725229371168,vadd,0,0,xilinx_u280_xdma_201920_3-0,7153.85,0.747124,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,7146.37,7.344618,20800,2832.005695,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
8589934592,0,0,7154.79,0.101672,8.192,80.572822,


Guidance Parameters
Parameter,Element,Value,
COMMAND_QUEUE_OOO,94725229208624,0,
PLRAM_SIZE_BYTES,xilinx_u280_xdma_201920_3-0,131072,
KERNEL_BUFFER_INFO,vadd|table_HBM0|HBM[0],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM1|HBM[1],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM2|HBM[2],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM3|HBM[3],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM4|HBM[4],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM5|HBM[5],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM6|HBM[6],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM7|HBM[7],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM8|HBM[8],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM9|HBM[9],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM10|HBM[10],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM11|HBM[11],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM12|HBM[12],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM13|HBM[13],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM14|HBM[14],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM15|HBM[15],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM16|HBM[16],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM17|HBM[17],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM18|HBM[18],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM19|HBM[19],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM20|HBM[20],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM21|HBM[21],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM22|HBM[22],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM23|HBM[23],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM24|HBM[24],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM25|HBM[25],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM26|HBM[26],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM27|HBM[27],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM28|HBM[28],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM29|HBM[29],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM30|HBM[30],400000,
KERNEL_BUFFER_INFO,vadd|table_HBM31|HBM[31],400000,
KERNEL_BUFFER_INFO,vadd|table_DDR0|DDR[0],4000000,
KERNEL_BUFFER_INFO,vadd|table_DDR1|DDR[1],4000000,
KERNEL_BUFFER_INFO,vadd|out_PLRAM|PLRAM[0],8192,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_xdma_201920_3-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_xdma_201920_3-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_u280_xdma_201920_3-0|PLRAM,512,
BUFFER_RD_ACTIVE_TIME_MS,all,0.101672,
BUFFER_WR_ACTIVE_TIME_MS,all,7.45726,
BUFFER_TX_ACTIVE_TIME_MS,all,8.52517,
APPLICATION_RUN_TIME_MS,all,7211.31,


